Year,County Name,Type of Control,Total Revenue,Total Cost,Total Profit,Operating Margin
2009,Sonoma,District,78271855.0,76437630.0,1834225.0,-7.26
2009,Orange,Investor,46215717.0,44146502.0,2069215.0,18.6
2009,Kern,Investor,32420954.0,26405551.0,6015403.0,24.23
2009,Orange,Investor,28479220.0,28711087.0,-231867.0,-1.28
2009,Riverside,District,489695210.0,494535375.0,-4840165.0,-4.11
2009,Los Angeles,Non-Profit,959783287.0,947869898.0,11913389.0,4.4
2009,Sacramento,Investor,39200813.0,33135268.0,6065545.0,29.25
2009,San Bernardino,District,205496418.0,196808024.0,8688394.0,4.36
2009,Orange,Investor,508648173.0,522029029.0,-13380856.0,-13.61
2009,Orange,Non-Profit,1805275183.0,1778090159.0,27185024.0,4.52
2009,Los Angeles,Investor,168219869.0,153969406.0,14250463.0,27.56
2009,Los Angeles,Investor,1118263683.0,1117919758.0,343925.0,-1.32
2009,Orange,Investor,191191150.0,187493723.0,3697427.0,7.55
2009,Los Angeles,Non-Profit,1868665832.0,1837967804.0,30698028.0,0.39
2009,Humboldt,District,8307465.0,8147193.0,160272.0,-24.94
2009,San Francisco,Non-Profit,72768907.0,83028122.0,-10259215.0,-21.23
2009,Mariposa,District,23828223.0,23998717.0,-170494.0,-14.39
2009,Riverside,Investor,610247377.0,618618917.0,-8371540.0,-9.45
2009,Contra Costa,Non-Profit,61598572.0,64209500.0,-2610928.0,-11.09
2009,Contra Costa,Non-Profit,1516095734.0,1521178837.0,-5083103.0,-1.2
2009,Contra Costa,Non-Profit,2579151452.0,2491909208.0,87242244.0,9.83
2009,Los Angeles,Non-Profit,31675211.0,27917448.0,3757763.0,13.69
2009,Orange,Non-Profit,0.0,0.0,0.0,0.0
2009,Contra Costa,Non-Profit,0.0,0.0,0.0,0.0
2009,Los Angeles,Non-Profit,0.0,0.0,0.0,0.0
2009,Los Angeles,Non-Profit,0.0,0.0,0.0,0.0
2009,Los Angeles,Non-Profit,0.0,0.0,0.0,0.0
2009,San Bernardino,Non-Profit,0.0,0.0,0.0,0.0
2009,Fresno,Non-Profit,0.0,0.0,0.0,0.0
2009,San Francisco,Non-Profit,0.0,0.0,0.0,0.0
